"","X","id","has_bathroom","has_refrig","total_persons","has_comp","num_phones","disabled","married","divorced","separated","widower","single","num_children","num_65","num_adults","dependency","water_inside","water_outside","no_water","gov_elec","private_elec","no_elec","coop_elec","no_toilet","sewer","septictank","latrine","toilet_other","no_cooking_energy","cooking_.elec","cooking_gas","cooking_woodcoal","trash_truck","trash_buried","trash_burning","trash_throwing","trash_river","age","Target","age_z"
"1",1,"ID_279628684",1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,43,0,0.40238514729044
"2",2,"ID_f29eb3ddd",1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,67,0,1.51286590173882
"5",5,"ID_d56d6f5f5",1,1,4,0,3,0,0,0,0,0,0,2,0,2,0.5,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,37,0,0.124764958678345
"7",7,"ID_e9e0c1100",1,1,4,0,3,0,0,0,0,0,0,2,0,2,0.5,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,8,0,-1.21706595294678
"8",8,"ID_3e04e571e",1,1,4,0,1,0,0,0,0,0,0,2,0,2,0.5,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,7,0,-1.26333598438213
"9",9,"ID_1284f8aad",1,1,4,0,1,0,0,0,0,0,0,2,0,2,0.5,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,30,0,-0.199125261369098
"10",10,"ID_51f52fdd2",1,1,4,0,1,0,0,0,0,0,0,2,0,2,0.5,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,28,0,-0.291665324239797
"11",11,"ID_db44f5c59",1,1,4,0,1,0,0,0,0,0,1,2,0,2,0.5,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,11,0,-1.07825585864073
"12",12,"ID_de822510c",1,1,2,0,1,0,0,0,0,0,1,1,0,1,0.5,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,18,0,-0.754365638593288
"13",13,"ID_d94071d7c",1,1,2,0,1,0,0,0,1,0,0,1,0,1,0.5,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,34,0,-0.0140451356277021
"14",14,"ID_064b57869",1,1,2,0,1,0,0,0,0,1,0,0,1,2,0.5,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,79,0,2.06810627896301
"15",15,"ID_5c837d8a4",1,1,2,0,1,0,0,0,0,0,1,0,1,2,0.5,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,39,0,0.217305021549043
"17",17,"ID_4ff51f90c",1,1,4,0,1,0,0,0,0,0,0,2,1,2,0.75,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,70,0,1.65167599604487
"18",18,"ID_336c51386",1,1,4,0,1,0,0,0,0,0,1,2,1,2,0.75,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,19,0,-0.708095607157939
"20",20,"ID_35b66f7c6",1,1,2,0,2,0,1,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,22,0,-0.569285512851891
"21",21,"ID_74a2bc523",1,1,2,0,2,0,1,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,26,0,-0.384205387110495
"22",22,"ID_15d393ce7",1,1,2,0,1,0,1,0,0,0,0,0,2,2,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,69,0,1.60540596460952
"24",24,"ID_848b0fdf1",0,1,3,0,3,0,1,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,41,0,0.309845084419742
"25",25,"ID_298d857e5",0,1,3,0,3,0,0,0,1,0,0,0,0,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,20,0,-0.66182557572259
"26",26,"ID_1d5bf8ddf",0,1,3,0,3,0,1,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,40,0,0.263575052984393
"27",27,"ID_e5cdba865",1,1,1,0,2,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,44,0,0.448655178725789
"28",28,"ID_e18530139",1,1,3,0,3,0,1,0,0,0,0,0,1,3,0.333333333333333,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,69,0,1.60540596460952
"30",30,"ID_b6c1c7e65",1,1,3,0,3,0,0,0,0,0,1,0,1,3,0.333333333333333,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,33,0,-0.0603151670630512
"31",31,"ID_96b1fbc81",1,1,2,0,2,0,1,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,35,0,0.032224895807647
"33",33,"ID_e24d9c3c9",1,1,5,0,3,0,0,0,0,0,1,1,0,4,0.2,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,28,0,-0.291665324239797
"34",34,"ID_be1c0c929",1,1,5,0,3,0,0,0,0,0,0,1,0,4,0.2,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,56,0,1.00389555594998
"36",36,"ID_beb36ce09",1,1,5,0,3,0,0,0,0,0,1,1,0,4,0.2,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,19,0,-0.708095607157939
"37",37,"ID_57b05a403",1,1,5,0,3,0,0,0,0,0,0,1,0,4,0.2,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,52,0,0.818815430208582
"38",38,"ID_01f1e94b3",1,1,3,0,2,0,0,0,0,0,0,1,0,2,0.333333333333333,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,36,0,0.0784949272429961
"39",39,"ID_0f01e18e9",1,1,3,0,2,0,0,0,0,0,1,1,0,2,0.333333333333333,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,15,0,-0.893175732899335
"40",40,"ID_e73a7a162",1,1,3,0,2,0,0,0,0,0,0,1,0,2,0.333333333333333,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,37,0,0.124764958678345
"42",42,"ID_1f68e9b45",1,1,2,0,2,0,0,0,0,0,1,0,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,24,0,-0.476745449981193
"44",44,"ID_451a7e35a",1,1,3,1,3,0,0,0,0,1,0,1,1,2,0.666666666666667,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,76,0,1.92929618465696
"45",45,"ID_cf3c3d7ec",1,1,3,1,3,0,0,1,0,0,0,1,1,2,0.666666666666667,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,44,0,0.448655178725789
"46",46,"ID_feda408ee",1,1,2,0,1,0,0,1,0,0,0,0,2,2,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,69,0,1.60540596460952
"47",47,"ID_4dd2eaeba",1,1,2,0,1,1,0,0,0,1,0,0,2,2,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,94,0,2.76215675049324
"48",48,"ID_34d68201f",1,1,3,0,2,0,1,0,0,0,0,1,0,2,0.333333333333333,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,45,0,0.494925210161138
"50",50,"ID_340865cda",1,1,3,0,2,0,1,0,0,0,0,1,0,2,0.333333333333333,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,48,0,0.633735304467185
"53",53,"ID_68cdfd374",1,1,4,0,2,0,0,0,0,0,1,2,0,2,0.5,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,14,1,-0.939445764334684
"54",54,"ID_be0fdb30f",1,1,4,0,2,0,0,0,0,0,0,2,0,2,0.5,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,42,1,0.356115115855091
"55",55,"ID_88d6dc9be",1,1,4,0,2,0,0,0,0,0,1,2,0,2,0.5,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,13,0,-0.985715795770033
"56",56,"ID_e2d67d5bb",1,1,4,0,2,0,0,0,0,0,1,2,0,2,0.5,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,10,0,-1.12452589007608
"57",57,"ID_39794350a",1,1,4,0,2,0,0,0,1,0,0,2,0,2,0.5,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,37,0,0.124764958678345
"58",58,"ID_91fc6ef60",1,1,4,0,2,0,0,0,1,0,0,2,0,2,0.5,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,36,0,0.0784949272429961
"59",59,"ID_a0fb0a5c4",0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,71,1,1.69794602748021
"60",60,"ID_b00eafd98",1,1,2,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,30,0,-0.199125261369098
"61",61,"ID_332252b98",1,1,2,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,29,0,-0.245395292804448
"62",62,"ID_1db0ed392",1,1,3,1,3,0,1,0,0,0,0,0,1,3,0.333333333333333,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,55,0,0.957625524514629
"64",64,"ID_f1a8c2996",1,1,3,1,3,0,0,0,0,0,1,0,1,3,0.333333333333333,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,26,0,-0.384205387110495
"65",65,"ID_6e9d356d7",1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,71,1,1.69794602748021
"66",66,"ID_5a72ab074",1,1,5,0,5,0,0,0,0,0,0,2,0,3,0.4,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,30,0,-0.199125261369098
"68",68,"ID_bd34e0c6a",1,1,5,0,5,0,0,0,0,0,0,2,0,3,0.4,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,-1.54095617299422
"70",70,"ID_5cba5f4d4",1,1,5,0,5,0,0,0,0,0,1,2,0,3,0.4,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,60,0,1.18897568169137
"71",71,"ID_c5bfe390e",1,1,4,1,2,0,0,0,0,0,0,1,1,3,0.5,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,7,0,-1.26333598438213
"72",72,"ID_f70aba49f",1,1,4,1,2,0,1,0,0,0,0,1,1,3,0.5,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,40,0,0.263575052984393
"73",73,"ID_8d1510a53",1,1,4,1,2,0,1,0,0,0,0,1,1,3,0.5,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,45,0,0.494925210161138
"75",75,"ID_4f75bf2e4",1,1,3,0,4,0,1,0,0,0,0,1,0,2,0.333333333333333,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,57,0,1.05016558738533
"76",76,"ID_dd93e20ec",1,1,3,0,4,0,0,0,0,0,1,1,0,2,0.333333333333333,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,17,0,-0.800635670028637
"77",77,"ID_c8f69febe",1,1,3,0,4,0,1,0,0,0,0,1,0,2,0.333333333333333,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,40,0,0.263575052984393
"78",78,"ID_32e57e6be",1,1,3,1,2,0,0,0,0,0,0,1,0,2,0.333333333333333,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,41,0,0.309845084419742
"79",79,"ID_67204372d",1,1,3,1,2,0,0,0,0,0,0,1,0,2,0.333333333333333,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,8,0,-1.21706595294678
"80",80,"ID_c946fea9c",1,1,3,1,2,0,0,0,0,0,0,1,0,2,0.333333333333333,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,44,0,0.448655178725789
"82",82,"ID_0f688cf40",1,1,3,1,3,0,0,0,0,0,1,0,0,3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,29,0,-0.245395292804448
"84",84,"ID_c38cb27c5",1,1,3,0,2,0,0,0,0,0,1,0,2,3,0.666666666666667,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,42,0,0.356115115855091
"86",86,"ID_6aee5943e",1,1,3,0,2,1,1,0,0,0,0,0,2,3,0.666666666666667,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,70,0,1.65167599604487
"87",87,"ID_48c10ba80",1,1,2,0,1,0,0,0,0,1,0,0,1,2,0.5,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,89,0,2.5308065933165
"89",89,"ID_b20ab1829",1,1,4,0,4,0,0,0,0,0,0,2,0,2,0.5,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,40,0,0.263575052984393
"90",90,"ID_aa4870ce2",1,1,4,0,4,0,0,0,0,0,1,2,0,2,0.5,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,17,0,-0.800635670028637
"94",94,"ID_b2e903868",1,1,5,0,4,0,0,0,0,0,0,2,0,3,0.4,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,35,0,0.032224895807647
"95",95,"ID_084179406",1,1,5,0,4,0,0,0,0,0,1,2,0,3,0.4,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,13,0,-0.985715795770033
"97",97,"ID_c3ae81c15",1,1,5,0,4,0,0,0,0,0,0,2,0,3,0.4,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,4,0,-1.40214607868818
"101",101,"ID_f3583bbf7",1,1,3,0,1,0,0,0,0,0,1,2,0,1,0.666666666666667,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,17,0,-0.800635670028637
"103",103,"ID_b3dd09090",1,1,3,1,3,0,1,0,0,0,0,1,0,2,0.333333333333333,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,43,0,0.40238514729044
"104",104,"ID_121a92c4e",1,1,3,1,3,0,0,0,0,0,1,1,0,2,0.333333333333333,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,10,0,-1.12452589007608
